timestamp,temp_slurry_k1,gas_flow_in1_k1,gas_flow_in2_k1,temp_offgas_k1,temp_out_water_k1,temp_zone_14_k1,temp_zone_5_k1,temp_zone_25_k1,gas_header_pressure_1,gas_header_pressure_2,fg_header_pressure,group_liquid_temp_g1,level_k1,target
2026-02-19 23:12:00,28.68,6123.87,6488.49,44.25,33.39,57.6,38.96,57.6,3.89,3.32,3.99,39.01,46.24,44.48
2026-02-19 23:18:00,28.59,6115.28,6480.74,44.48,33.23,57.13,38.51,57.49,3.88,3.27,3.98,39.04,45.1,44.25
2026-02-19 23:24:00,28.72,5722.97,6476.73,44.25,33.56,56.72,38.45,57.19,3.85,3.21,3.96,38.92,45.8,44.38
2026-02-19 23:30:00,29.05,5436.32,6459.88,44.38,33.97,56.14,38.42,57.2,3.83,3.12,3.94,38.96,45.11,44.99
2026-02-19 23:36:00,29.46,5392.64,6495.71,44.99,34.45,55.66,38.34,57.3,3.82,3.1,3.93,39.21,46.9,45.52
2026-02-19 23:42:00,29.87,5271.16,6486.75,45.52,34.8,55.33,38.3,57.44,3.8,3.09,3.91,38.89,51.3,45.91
2026-02-19 23:48:00,30.27,5258.56,6506.65,45.91,35.18,55.18,38.44,57.58,3.81,3.09,3.91,38.68,51.84,46.36
2026-02-19 23:54:00,30.64,5197.6,6496.37,46.36,35.55,55.16,38.71,57.71,3.78,3.09,3.88,39.17,49.69,46.8
2026-02-20 00:00:00,30.91,5386.16,6496.83,46.8,35.95,55.23,39.01,57.92,3.8,3.08,3.89,39.35,48.27,47.32
2026-02-20 00:06:00,31.09,5208.23,6507.41,47.32,36.29,55.47,39.47,58.14,3.76,3.08,3.86,39.48,43.05,46.68
2026-02-20 00:12:00,31.3,5082.96,6498.23,46.68,36.69,55.8,39.92,58.34,3.75,3.09,3.84,39.87,45.3,46.38
2026-02-20 00:18:00,31.55,5100.54,6531.55,46.38,37.1,56.22,40.34,58.43,3.74,3.1,3.83,40.19,45.2,46.12
2026-02-20 00:24:00,31.7,5140.2,6547.83,46.12,37.43,56.59,40.61,58.49,3.73,3.11,3.82,40.04,45.66,46.07
2026-02-20 00:30:00,31.55,5176.59,6504.72,46.07,37.34,56.81,40.56,58.6,3.72,3.1,3.81,39.97,44.96,45.89
2026-02-20 00:36:00,31.14,5208.0,6481.36,45.89,36.94,57.04,40.39,58.66,3.73,3.1,3.82,39.94,44.59,45.74
2026-02-20 00:42:00,30.57,5189.06,6465.85,45.74,36.42,57.22,40.18,58.61,3.73,3.1,3.82,39.87,44.45,45.37
2026-02-20 00:48:00,30.08,5157.11,6485.99,45.37,35.81,57.42,40.02,58.42,3.73,3.1,3.82,40.06,45.2,45.21
2026-02-20 00:54:00,29.67,5095.0,6493.77,45.21,35.38,57.56,39.82,58.26,3.72,3.1,3.82,40.06,45.08,45.37
2026-02-20 01:00:00,29.36,5094.18,6528.0,45.37,35.05,57.36,39.25,58.23,3.71,3.09,3.81,40.19,45.84,46.48
2026-02-20 01:06:00,29.12,5162.27,6560.2,46.48,34.69,56.89,38.57,58.5,3.71,3.1,3.8,39.97,45.36,47.09
2026-02-20 01:12:00,28.89,5344.39,6496.36,47.09,34.28,56.53,38.2,58.79,3.78,3.16,3.91,39.6,48.25,47.19
2026-02-20 01:18:00,28.7,5257.23,6520.82,47.19,34.14,56.44,38.22,58.98,3.79,3.19,3.91,39.15,46.44,47.55
