date_file,hours_blocks,extra_sample_times,sheet_names
01.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,22:40:00; 00:35:00,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
02.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
03.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
04.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
05.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
06.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
07.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
08.03.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
20.02.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
21.02.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
22.02.2026,20:00-21:00; 21:00-22:00; 22:00-23:00; 23:00-24:00; 00:00-01:00; 01:00-02:00; 02:00-03:00; 03:00-04:00; 04:00-05:00; 05:00-06:00; 06:00-07:00; 07:00-08:00,,Диаграмма1; Лист контроля  ; Доп.анализы; Анализ возд.среды ; Декадные анализы; Анализы на период ОКР; ПАК ; Техкарта ; Авт.контроль; Обозначения и сокращения; Качеств.показатели
