sheet,section_or_area,parameter,units_or_symbol,norm_or_target,frequency,source_or_method,potential_role,notes
Техкарта,"Промыватель воздуха фильтров поз.21-3  (ПВФл).
Замер на коллекторе нагнетания после поз.6 1-5(ТВН-360-22-1) вакуумной станции цеха Компрессии отм. 4.0 м
","Массовая концентрация аммиака в газе, выходящем из ПГКл-2 и расчет потерь аммиака с газом на 1 т соды (в пересчёте на  аммиачную воду с массовой долей 25,5 %), кг/т соды, не более
",кг/т соды,0.8,1 раз в смену,Лаборатория № 3,control KPI / emission-loss KPI,Нормативный лабораторный контроль / техрежим
Техкарта,"Второй промыватель газа колонн 
поз. 91-7 (ПГКл-II)
 Отбор пробы жидкости с трубопровода аппарата, отм.28.0 м
Замер газа на трубопроводе после аппарата, отм.40.0 м
","Общая щелочность (прямой титр), г/дм3 (н.д.), не более",г/дм3,"21,6 (24,0)",1 раз в декаду,Лаборатория № 3,target / process-quality KPI,Нормативный лабораторный контроль / техрежим
Техкарта,"Второй промыватель газа колонн 
поз. 91-7 (ПГКл-II)
 Отбор пробы жидкости с трубопровода аппарата, отм.28.0 м
Замер газа на трубопроводе после аппарата, отм.40.0 м
","Объёмная доля углекислого газа, % (об.), не более",% (об.),8,1 раз в сутки,Лаборатория № 3,control KPI / reference,Нормативный лабораторный контроль / техрежим
Техкарта,"Второй промыватель газа колонн 
поз. 91-7 (ПГКл-II)
 Отбор пробы жидкости с трубопровода аппарата, отм.28.0 м
Замер газа на трубопроводе после аппарата, отм.40.0 м
","Массовая концентрация аммиака в газе, выходящем из ПГКл-2 и расчет потерь аммиака с газом на 1 т соды (в пересчёте на  аммиачную воду с массовой долей 25,5 %), кг/т соды, не более
",кг/т соды,0.8,1 раз в смену,Лаборатория № 3,control KPI / emission-loss KPI,Нормативный лабораторный контроль / техрежим
Техкарта,"Промыватель газа абсорбции. поз.31-3   (ПГАБ)
Замер газа с коллектора 
отд. Карбонизация-1 отм. 17.0 м 
Отбор проб жидкости с трубопровода после аппарата отм. 32.0 м 
","Объёмная доля углекислого газа, % (об.), не менее",% (об.),90,2 раза в смену,Лаборатория № 3,control KPI / reference,Нормативный лабораторный контроль / техрежим
Техкарта,"Промыватель газа абсорбции. поз.31-3   (ПГАБ)
Замер газа с коллектора 
отд. Карбонизация-1 отм. 17.0 м 
Отбор проб жидкости с трубопровода после аппарата отм. 32.0 м 
","Общая щелочность (прямой титр),
г/дм3 (н.д.), не более
",г/дм3,"36,1 (40,0)",1 раз в декаду,Лаборатория № 3,target / process-quality KPI,Нормативный лабораторный контроль / техрежим
Техкарта,Холодильник газа дистилляции поз.81-7 (ХГДС),"Температура газа ХГДС на выходе, °С",°С,56÷62,2 раза в смену,Лаборатория № 3,feature / SCADA-aligned predictor,Нормативный лабораторный контроль / техрежим
Техкарта,"Сборник аммонизированного  рассола (САР) поз.151,2
Отбор  проб с коллектора
отм.12.0 м; 22.0 м
","Общая щелочность (прямой титр), г/дм3 (н.д.)",г/дм3,"Летом 
(90,2÷93,8)/
(100,0÷104,0)
Зимой
(92,0÷95,6)/
(102,0÷106,0)
",10-12 раз в смену,Лаборатория № 3,target / quality target,Нормативный лабораторный контроль / техрежим
Техкарта,"Сборник аммонизированного  рассола (САР) поз.151,2
Отбор  проб с коллектора
отм.12.0 м; 22.0 м
","Массовая (объёмно-эквивалентная)  концентрация хлорид-ионов, г/дм3/(н.д.), 
не менее",г/дм3,"153,9                              (86,8)","2 раза
в смену и из усредненной пробы за смену
",Лаборатория № 3,target / quality target,Нормативный лабораторный контроль / техрежим
Техкарта,"Сборник аммонизированного  рассола (САР) поз.151,2
Отбор  проб с коллектора
отм.12.0 м; 22.0 м
","Массовая (объёмно-эквивалентная)   концентрация сульфид-ионов, г/дм3 (н.д.)",г/дм3,"0,16÷0,80
(0,20÷1,00)
",2 раза в смену,Лаборатория № 3,target / quality target,Нормативный лабораторный контроль / техрежим
Техкарта,"Сборник аммонизированного  рассола (САР) поз.151,2
Отбор  проб с коллектора
отм.12.0 м; 22.0 м
","Температура жидкости,°С, не более",°С,70,2 раза в смену,Лаборатория № 3,feature / SCADA-aligned predictor,Нормативный лабораторный контроль / техрежим
Техкарта,Конденсатор газа дистилляции (КДС) поз.331-7,"Температура газ на выходе из аппарата, °С, не более",°С,71,2 раза в смену,Лаборатория № 3,feature / SCADA-aligned predictor,Нормативный лабораторный контроль / техрежим
Техкарта,"Коллектор жидкости после дистиллера слабой жидкости (ДСЖ) поз.44 и поз.77 (ДСЖ № 1,2) отм. 0.0 м","Массовая (объёмно-эквивалентная) концентрация аммиака, г/дм3/(н.д.; н.д./2л), не более",г/дм3,"0,17/(0,20; 20,0)","1 раз
в смену и из усредненной пробы за смену
",Лаборатория № 3,control KPI / reference,Нормативный лабораторный контроль / техрежим
Техкарта,"Коллектор жидкости после испарителя поз.401-7 (ИС)
отм.0.0 м
","Массовая (объёмно-эквивалентная) концентрация аммиака, г/дм3/(н.д.; н.д./2л), не более",г/дм3,"0,13 (0,15; 15,0)",1 раз в смену с каждого элемента и из усредненной пробы за смену,Лаборатория № 3,control KPI / reference,Нормативный лабораторный контроль / техрежим
Техкарта,"Коллектор жидкости после испарителя поз.401-7 (ИС)
отм.0.0 м
","Массовая (объемно-эквивалентная ) концентрация активного гидроксида кальция в пересчёте на активную окись кальция (СаОакт), г/дм3/(н.д.), не более",г/дм3,"3,5 (2,5)",1 раз в смену с каждого элемента и из усредненной пробы за смену,Лаборатория № 3,control KPI / reference,Нормативный лабораторный контроль / техрежим
Техкарта,"Коллектор жидкости после испарителя поз.401-7 (ИС)
отм.0.0 м
","Массовая (объёмно-эквивалентная)  концентрация хлорид-ионов, г/дм3/(н.д.), 
не менее",г/дм3,"106,4 (60,0)",1 раз в смену с каждого элемента и из усредненной пробы за смену,Лаборатория № 3,target / process-quality KPI,Нормативный лабораторный контроль / техрежим
Техкарта,Коллектор жидкости после теплообменника дистилляции поз. 341-7 (ТДС)  отм. 16.0 м,"Массовая (объёмно-эквивалентная) концентрация двуокиси углерода,
 г/дм3/(н.д.), не более",г/дм3,"2,20 (2,00)",1 раз в смену с каждого элемента,Лаборатория № 3,target / process-quality KPI,Нормативный лабораторный контроль / техрежим
Техкарта,"Коллектор суспензии гидрокарбоната натрия с карбоколонн на группу барабанных вакуум-фильтров 
поз.5812-19 отм. 8.0 м
и  ленточные фильтры 
поз.F201, поз.F401 отм.12.0 м
","Массовая (объёмно-эквивалентная)   концентрация NH3связ, г/дм3/(н.д.),
 не менее",г/дм3,"Летом:
61,3 (68,0)
Зимой:
63,1 (70,0)
",2 раза в смену с ленточных фильтров и группы колонн с барабанных фильтров и из усредненных проб за смену,Лаборатория № 3,control KPI / reference,Нормативный лабораторный контроль / техрежим
