feature,importance
w60__last__s03_fic12063_pida_op,0.04577266597466612
w60__last__s05_lic12013_daca_pv,0.038649093601175084
w60__mean__s10_ti12090_daca_pv,0.025549762818420408
w60__last__s10_ti12090_daca_pv,0.02308621565732456
w60__last__s08_fic12068_pida_op,0.02106245726542206
w60__mean__s03_tic12096_pida_op,0.020670792347931413
w60__mean__s05_tic12072_pida_op,0.020309810558892975
w60__last__s01_ti12055_daca_pv,0.019535951472503543
w60__last__s10_fic12083_pida_op,0.018828244100220985
w60__last__s04_fic12077_daca_pv,0.017480502902509
w60__last__s03_ti12083_daca_pv,0.014775518663141135
w60__last__s10_ti12038_daca_pv,0.011689758215880964
w60__last__s07_fic12080_daca_pv,0.011596976505054275
w60__mean__s05_ti12033_daca_pv,0.01157503839989637
w60__mean__s09_ti12089_daca_pv,0.01104582357984167
w60__mean__s04_tic12045_daca_pv,0.010875708360043363
w60__mean__s08_fic12068_daca_pv,0.0103606833692915
w60__mean__s05_tic12098_daca_pv,0.00977961656755034
w60__mean__s01_fic12074_daca_pv,0.00928211842804649
w60__mean__s05_ti12085_daca_pv,0.008649597425096741
w60__mean__s06_ti12089_daca_pv,0.008592276213265282
w60__mean__s10_fic12070_daca_pv,0.008257859921350435
w60__last__s08_ti12036_daca_pv,0.008204654507201412
w60__last__s03_tic12096_daca_pv,0.008139687889164617
w60__last__s08_tic12075_pida_op,0.008008980365276164
w60__last__s07_ti12061_daca_pv,0.007961492679233366
w60__mean__s04_tic12097_pida_op,0.007945047653599196
w60__last__s08_lic12016_daca_pv,0.00792638251794653
w60__mean__s12_ti12066_daca_pv,0.00770286005463208
w60__last__s02_fic12075_daca_pv,0.007581842117063493
w60__last__s07_ti12035_daca_pv,0.007458147895633799
w60__mean__s03_ti12083_daca_pv,0.007418909394636685
w60__mean__s08_ti12036_daca_pv,0.007371088993663933
w60__mean__s07_lic12015_daca_pv,0.0073460276480785194
w60__mean__s10_fic12083_pida_op,0.007333835723402333
w60__mean__s08_fic12068_pida_op,0.007333081405225827
w60__last__s10_tic12051_daca_pv,0.006725787131223098
w60__mean__s13_ti12041_daca_pv,0.006694541252934322
w60__mean__s07_fic12067_pida_op,0.00663106891809847
w60__last__s04_tic12097_pida_op,0.00638795653341538
w60__mean__s07_ti12035_daca_pv,0.006375262695570638
w60__mean__s05_lic12013_daca_pv,0.006268782326335609
w60__mean__s08_tic12101_pida_op,0.006076366695184465
w60__last__s05_ti12033_daca_pv,0.005752089178925009
w60__last__s07_fic12067_pida_op,0.005747564944427421
w60__last__s07_tic12100_daca_pv,0.005711817711555383
w60__last__s10_tic12103_pida_op,0.00568995419822097
w60__last__s07_fic12067_daca_pv,0.0055907544954247315
w60__mean__s10_fic12083_daca_pv,0.005570791416721316
