feature,importance
w60__last__s03_fic12063_pida_op,0.023194891864155624
w60__min__s10_ti12090_daca_pv,0.022667468728569267
w60__last__s05_lic12013_daca_pv,0.019600936018647947
w60__std__s01_ti12029_daca_pv,0.01882652449291979
w60__max__s10_fic12083_pida_op,0.015594350104773235
w60__min__s10_tic12103_pida_op,0.015307980823883011
w60__std__s07_fic12080_daca_pv,0.014272845304879664
w60__mean__s03_tic12096_pida_op,0.013594564030640148
w60__std__s10_ti12090_daca_pv,0.01199899720515444
w60__max__s07_lic12015_daca_pv,0.011358796035321793
w60__last__s01_ti12055_daca_pv,0.01015096162587546
w60__mean__s05_tic12072_pida_op,0.009993520010568021
w60__last__s08_fic12068_pida_op,0.00940939340156279
w60__delta__s10_fic12070_daca_pv,0.008757715731858335
w60__mean__s10_ti12090_daca_pv,0.007892728971022053
w60__min__s10_fic12070_daca_pv,0.007834967277574227
w60__last__s04_fic12077_daca_pv,0.007247254913714783
w60__max__s02_ti12030_daca_pv,0.0071581789757121745
w60__delta__s04_fic12064_daca_pv,0.007101421863648464
w60__max__s10_fic12083_daca_pv,0.007081737124300519
w60__max__s08_ti12036_daca_pv,0.007049488956246273
w60__max__s05_tic12098_daca_pv,0.006636683480471728
w60__delta__s08_lic12016_daca_pv,0.0062930033957859744
w60__std__s01_fic12061_daca_pv,0.0061379129468565885
w60__delta__s12_ti12066_daca_pv,0.006137806429029863
w60__min__s02_fic12075_daca_pv,0.005764040915811461
w60__max__s05_ti12033_daca_pv,0.005729921605873777
w60__last__s07_fic12080_daca_pv,0.005478880744348539
w60__min__s06_lic12017_daca_pv,0.005414606504490335
w60__last__s10_ti12090_daca_pv,0.005277936194234541
w60__std__s13_tic12106_pida_op,0.005275552719065958
w60__max__s01_ti12055_daca_pv,0.005214162051601457
w60__delta__s13_fic12086_daca_pv,0.004923415404074777
w60__mean__s04_tic12097_pida_op,0.004665478529306741
w60__delta__s03_ti12083_daca_pv,0.004592175063920723
w60__last__s03_ti12083_daca_pv,0.004465652968584067
w60__mean__s08_fic12068_daca_pv,0.0043372862931880165
w60__std__s08_lic12016_daca_pv,0.004323860798159229
w60__min__s09_ti12089_daca_pv,0.004321996515745849
w60__mean__s09_ti12089_daca_pv,0.0043020723795518905
w60__max__s04_tic12045_daca_pv,0.004196352632213633
w60__max__s03_ti12083_daca_pv,0.004072161648392631
w60__delta__s08_tic12101_daca_pv,0.0040681456959940744
w60__min__s06_ti12089_daca_pv,0.004051692521328365
w60__mean__s08_fic12068_pida_op,0.00390448618443667
w60__mean__s05_lic12013_daca_pv,0.003820074227592502
w60__std__s03_tic12096_pida_op,0.0037677034546568064
w60__delta__s05_fic12078_daca_pv,0.0037276251303240207
w60__mean__s10_fic12083_daca_pv,0.0037133790469255786
w60__last__s07_ti12061_daca_pv,0.003672237184500155
w60__last__s07_fic12067_pida_op,0.0036590982665811044
w60__min__s10_ti12038_daca_pv,0.003537890744788701
w60__delta__s08_fic12068_pida_op,0.003523049292263478
w60__delta__s04_ti12084_daca_pv,0.0034516723502798384
w60__delta__s07_fic12080_pida_op,0.0034254155157307023
w60__max__s03_tic12096_pida_op,0.003420094971063802
w60__std__s12_fic12085_daca_pv,0.0033682069610112865
w60__mean__s07_lic12015_daca_pv,0.0033499651415831904
w60__last__s10_fic12083_pida_op,0.0031674324692528605
w60__delta__s10_ti12090_daca_pv,0.0030768488273518625
w60__min__s10_tic12051_daca_pv,0.0030337047070465527
w60__last__s08_fic12081_daca_pv,0.002985799414802921
w60__mean__s01_ti12055_daca_pv,0.0029700422703613804
w60__std__s13_ti12067_daca_pv,0.002956270189443383
w60__max__s08_fic12068_pida_op,0.002929136546405207
w60__std__s05_ti12033_daca_pv,0.002902564552518101
w60__last__s04_tic12097_pida_op,0.002894716502425328
w60__max__s05_tic12046_daca_pv,0.00287663541313061
w60__last__s04_fic12064_daca_pv,0.0028655044137883066
w60__min__s05_lic12013_daca_pv,0.002833091488984947
w60__mean__s07_fic12067_pida_op,0.00283098584699281
w60__delta__s01_ti12029_daca_pv,0.002804265124955951
w60__last__s13_tic12080_daca_pv,0.002758068753127194
w60__std__s06_pi12008_2_daca_pv,0.0027421484603752542
w60__max__s04_ti12032_daca_pv,0.0027371454444687217
w60__last__s08_ti12088_daca_pv,0.0027170348760935125
w60__mean__s10_fic12070_daca_pv,0.002713529291057369
w60__mean__s01_fic12074_daca_pv,0.002691615915879036
w60__std__s10_tic12051_daca_pv,0.0026889099014139745
w60__std__s01_ti12081_daca_pv,0.0026801305365983757
w60__mean__s08_fic12081_daca_pv,0.002652217773545218
w60__min__s08_ti12036_daca_pv,0.0026221095326366913
w60__last__s09_ti12089_daca_pv,0.0025963908934658665
